OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
46409,Destroyed (>50%),1241.0,Pearson,Road,Paradise Southeast B,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,,Mobile Home Double Wide,Single Residence,,Asphalt,Unknown,Unknown,Combustible,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,,,14275.0,1975.0,1241  PEARSON RD   PARADISE CA 95969,39.7490094851283,-121.5862638245
84429,No Damage,320.0,Greenville Wolf Creek,Road,Greenville,CA,95947.0,LMU,Plumas,Greenville ,7/13/2021 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,,,,320 GREENVILLE WOLF CREEK RD GREENVILLE CA 95947,40.1387237331685,-120.93328818311
16052,No Damage,1962.0,Capell Valley ,Road,,CA,,LNU,Napa,,8/16/2020 12:00:00 AM,Fire,,Commercial Building Single Story,Nonresidential Commercial,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,3066452.0,1979.0,1962 CAPELL VALLEY RD NAPA CA 94558,38.4701949805612,-122.23507711753
9650,Destroyed (>50%),4022.0,PINE PLACE RD,,,CA,,SKU,Siskiyou,HAPPY CAMP,9/8/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,1979.0,"4022 PINE PLACE RD, HAPPY CAMP CA 96039",41.8456777661391,-123.385717059262
70536,Destroyed (>50%),20681.0,Santa Rosa Avenue,,Middletown,CA,0.0,LNU,Lake,Middleton,9/12/2015 12:00:00 AM,Fire,,Mobile Home Single Wide,Single Residence,,Fire Resistant,Unknown,,Fire Resistant,Single Pane, , , ,,,,32128.0,,20693 SANTA ROSA AVE MIDDLETOWN CA 95461,38.7599137879125,-122.631204501745
67169,Destroyed (>50%),17530.0,Morgan Valley,Road,Lower Lake,CA,95457.0,LNU,Lake,,8/13/2016 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Fire Resistant,Unknown,Unknown,Fire Resistant,Single Pane, , , ,,,,39848.0,,17530 MORGAN VALLEY RD LOWER LAKE CA 95457 9718,38.9123719130073,-122.585918608285
69393,Destroyed (>50%),2740.0,Monticello,Road,Unincorporated,CA,0.0,LNU,Napa,Napa,10/8/2017 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Fire Resistant,Unknown,Unknown,Fire Resistant,Unknown, , , ,,,,225343.0,1941.0,2740 MONTICELLO RD,38.3519540582605,-122.224295439574
112322,Destroyed (>50%),742.0,E Mariposa,Street,Altadena,CA,91001.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Unknown,Masonry/Concrete,Masonry/Concrete,Combustible,Unknown,,<30',123493.0,1926.0,"742 E MARIPOSA ST, ALTADENA, CA 91001",34.188465,-118.1344692
34060,Destroyed (>50%),1866.0,Vineyard,Drive,Paradise Southeast A,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Multi Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,,,337695.0,1994.0,1866  VINEYARD DR   PARADISE CA 95969,39.7605278668407,-121.571700698237
37226,Destroyed (>50%),527.0,Nottingham,Parkway,Paradise Southwest B,CA,,BTU,Butte,Paradise,11/8/2018 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,,Asphalt,Unknown,No Vents,Combustible,Unknown,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,,<30',213555.0,0.0,527  NOTTINGHAM PARK     PARADISE CA 95969,39.7599786330537,-121.63147428373
113606,Destroyed (>50%),1391.0,N Altadena ,Drive,Pasadena,CA,91107.0,LAC,Los Angeles,,1/7/2025 8:02:01 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,Single Pane,No Deck/Porch,Masonry/Concrete,Combustible,Combustible,,,248616.0,1947.0,"1391 N ALTADENA DR, PASADENA, CA 91107",34.1701424,-118.0987125
