OBJECTID,Damage,Zip Code,CAL FIRE Unit,County,Incident Start Date,Structure Defense Actions Taken,Structure Type,Structure Category,Units in Structure,Roof Construction,Eaves,Vent Screen,Exterior Siding,Window Pane,Deck/Porch On Grade,Deck/Porch Elevated,Patio Cover/Carport Attached to Structure,Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure > 120 SQFT,Assessed Improved Value,Year Built,Latitude,Longitude,AIV missing,Year Built missing
107665,Destroyed (>50%),91001.0,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,0.0,Tile,Unknown,"Mesh Screen > 1/8""""",Stucco/Brick/Cement,Unknown,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,436968.0,1966.0,34.1997777,-118.1452463,0,1
51595,Destroyed (>50%),11517.0,SHU,Shasta,2018-07-23,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unknown,Unknown,Combustible,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,<30,31686.0,1966.0,40.6232103991689,-122.465661285829,0,1
27005,No Damage,92618.0,ORC,Orange,2020-10-26,Unknown,Multi Family Residence Multi Story,Multiple Residence,10.0,Tile,No Eaves,"Mesh Screen <= 1/8""""",Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,333121.0,2014.0,33.7001003549094,-117.731121920402,0,0
114751,Destroyed (>50%),91001.0,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Unknown,Unknown,Stucco/Brick/Cement,Unknown,Masonry/Concrete,Unknown,Unknown,Unknown,Unknown,<30,174932.0,1948.0,34.2022787,-118.1479224,0,0
119400,No Damage,91107.0,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,1.0,Tile,No Eaves,"Mesh Screen > 1/8""""",Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,Unknown,Unknown,231004.0,1926.0,34.16389,-118.0944368,0,0
17767,Destroyed (>50%),95688.0,LNU,Solano,2020-08-16,Unknown,Single Family Residence Multi Story,Single Residence,1.0,Tile,Unknown,"Mesh Screen <= 1/8""""",Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Unknown,Combustible,No Fence,Unknown,Unknown,379791.0,2000.0,38.4494854486336,-122.001331761577,0,0
38070,Destroyed (>50%),95969.0,BTU,Butte,2018-11-08,Unknown,Single Family Residence Multi Story,Single Residence,1.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,No Deck/Porch,Masonry/Concrete,No Patio Cover/Carport,No Fence,Unknown,Unknown,265000.0,1958.0,39.7380797637933,-121.567341352928,0,0
115041,Destroyed (>50%),91001.0,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Wood,No Eaves,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,Combustible,No Fence,Unknown,30-50,287206.0,1925.0,34.1791106,-118.1182521,0,0
27529,No Damage,92887.0,ORC,Orange,2020-10-26,Unknown,Single Family Residence Multi Story,Single Residence,1.0,Tile,Unenclosed,"Mesh Screen <= 1/8""""",Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Non Combustible,Non Combustible,Unknown,Unknown,485249.0,1994.0,33.8917735706616,-117.709079687883,0,0
122030,Destroyed (>50%),90265.0,LAC,Los Angeles,2025-01-07,Unknown,Multi Family Residence Multi Story,Multiple Residence,2.0,Asphalt,Unknown,Unknown,Stucco/Brick/Cement,Unknown,Masonry/Concrete,Wood,Combustible,No Fence,Unknown,Unknown,339769.0,1962.0,34.0368112,-118.6090068,0,0
14207,No Damage,95404.0,LNU,Sonoma,2020-09-27,Unknown,Single Family Residence Multi Story,Single Residence,1.0,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,Wood,Combustible,Combustible,Unknown,Unknown,37878.0,1974.0,38.5275013479774,-122.650920203679,0,0
35360,Destroyed (>50%),95969.0,BTU,Butte,2018-11-08,Unknown,Mobile Home Single Wide,Single Residence,1.0,Metal,No Eaves,No Vents,Combustible,Single Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,Unknown,Unknown,110389.0,1966.0,39.7852639798658,-121.594494875446,0,1
108938,No Damage,91107.0,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Unenclosed,No Vents,Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,105787.0,1951.0,34.1669964,-118.0930402,0,0
76206,No Damage,95448.0,LNU,Sonoma,2019-10-23,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,700289.0,1979.0,38.5502412184381,-122.768166278082,0,0
31108,Destroyed (>50%),95969.0,BTU,Butte,2018-11-08,Unknown,Mobile Home Double Wide,Single Residence,2.0,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Single Pane,Masonry/Concrete,Wood,Non Combustible,Non Combustible,Unknown,<30,5767.0,1973.0,39.7816698220551,-121.594057177612,0,0
26859,No Damage,92618.0,ORC,Orange,2020-10-26,Unknown,Single Family Residence Multi Story,Single Residence,1.0,Tile,Unenclosed,"Mesh Screen <= 1/8""""",Stucco/Brick/Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,712324.5000000002,2008.0,33.707123667093,-117.720007406752,0,0
38565,Destroyed (>50%),95969.0,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,>50,104040.0,1953.0,39.7718870996634,-121.624768725749,0,0
106053,No Damage,91104.0,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,No Vents,Wood,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,24003.0,1924.0,34.1777957,-118.1367978,0,0
